[绘夏！烈日？度假村！其三「惊遇！等待众人的将是…？」] 过场动画绘夏！烈日？度假村！其三 惊遇！等待众人的将是···？ （燧石余火） 过场动画
[绘夏！烈日？度假村！其三「惊遇！等待众人的将是…？」] 过场动画绘夏！烈日？度假村！其三 惊遇！等待众人的将是···？  （热舞狂欢） 过场动画
[绘夏！烈日？度假村！其四「收幕！将夏夜染作缤纷！」] 获得娜娜丝梨饼
[绘夏！烈日？度假村！其四「收幕！将夏夜染作缤纷！」] 和朋友们共度了一段愉快的时光…
[ 绘夏！烈日？度假村！其二「畅玩！举目之处皆为画布！」] 他的演讲不错。他并非那种夸夸其谈的人，言语里流露出的是朴素的真诚。他对自己的目标深信不疑，不如说他就像一团野火，具备着无畏的勇气…尽管现在的我已经回忆不起太多细节，但当时我的内心无疑是振奋的。
[ 绘夏！烈日？度假村！其二「畅玩！举目之处皆为画布！」] 可现场没有什么掌声，更没人主动向他搭话。看热闹的族人们四散而去，他笑着叹了一口气，弯腰去捡起地上的包，像是不打算多留了。
[ 绘夏！烈日？度假村！其二「畅玩！举目之处皆为画布！」] 「去其他地方找吧，试试花羽会。」
[ 绘夏！烈日？度假村！其二「畅玩！举目之处皆为画布！」] 我怕这年轻人太失望，毕竟冒险素来不是我们烟谜主的强项。
[ 绘夏！烈日？度假村！其二「畅玩！举目之处皆为画布！」] 他回过头看我，我才发现他的眼神里根本没有遭受挫折的痕迹。他笑着感谢我,面容依然坚定，仿佛冷遇不过是路边横生的荆棘，困难只是冒险途中的插曲…
[ 绘夏！烈日？度假村！其二「畅玩！举目之处皆为画布！」] 为何人能活得如此炽烈而通透呢？我总好奇那些原本不属于自己的生活方式…
[ 绘夏！烈日？度假村！其二「畅玩！举目之处皆为画布！」] 后来，查丘加入了我们，最后是流泉之众的安洁娅。
[ 绘夏！烈日？度假村！其二「畅玩！举目之处皆为画布！」] 我还记得那年夏天出奇的热，安洁娅提议在她家边办一场篝火派对，我们兴冲冲地张罗准备起来。派对上，结识新同伴的喜悦和对之后冒险的期待交织在一起，所有人都喝得比平时多了一点，以至于征集团名的时候，什么稀奇古怪的名字都往外冒…
[ 绘夏！烈日？度假村！其二「畅玩！举目之处皆为画布！」] 在「戟刃腾旋炽日告捷」之后，马坎尼提议了「燧石之锋」这个名字。
[ 绘夏！烈日？度假村！其二「畅玩！举目之处皆为画布！」] 安洁娅问他为什么不取一个更加张扬的团名，他说他的理想并非成为英雄，用不上太宏伟的名号。这话让我们都很吃惊，酒立刻醒了几分。
[ 绘夏！烈日？度假村！其二「畅玩！举目之处皆为画布！」] 但紧接着马坎尼又说，这片土地从不缺英雄，所以他想做的，是靠我们的努力为后人开辟道路，让初生的火种继续燃放光明…
[ 绘夏！烈日？度假村！其二「畅玩！举目之处皆为画布！」] 「燧石之锋」，火种的传承，多好的名字，多棒的寓意。
[ 绘夏！烈日？度假村！其二「畅玩！举目之处皆为画布！」] 可如今看来它又过于贴切了。
[ 绘夏！烈日？度假村！其二「畅玩！举目之处皆为画布！」] 是我们立志要让「燧石之锋」的名号传遍全提瓦特的，梦想尚未实现，因为宝宝的诞生，也是我们率先萌生了退意…
[ 绘夏！烈日？度假村！其二「畅玩！举目之处皆为画布！」] 对信任着我们，一路伴着我们冒险至今的朋友们来说，这样的决定无疑是自私的。
[ 绘夏！烈日？度假村！其二「畅玩！举目之处皆为画布！」] 但为人父母，这世上还有什么事能比守护孩子健康平安成长更重要呢？
[ 绘夏！烈日？度假村！其二「畅玩！举目之处皆为画布！」] 相处至今，我们心里隐约知晓朋友们的回答，但这并不会减轻内在的负罪感。「告别」向来不是一个容易的决定，尤其对于团长而言。
[ 绘夏！烈日？度假村！其二「畅玩！举目之处皆为画布！」] 或许，这也是如今横亘在我们面前的困难吧。此时此刻，该轮到我借给马坎尼一些勇气了，那是我曾从他那里获得的。
[ 绘夏！烈日？度假村！其二「畅玩！举目之处皆为画布！」] ……
[ 绘夏！烈日？度假村！其二「畅玩！举目之处皆为画布！」] 朋友们说他们早就猜到了会有这么一天…被这样揶揄了几句，心情倒是没有那么沉重了。我看马坎尼也是。
[ 绘夏！烈日？度假村！其二「畅玩！举目之处皆为画布！」] 安洁娅提议要安排一场告别的旅行，让大家好好度个假…这个好姑娘，总是知道怎样能让大家快活起来，她也不想让任何人留下遗憾吧。
[ 绘夏！烈日？度假村！其二「畅玩！举目之处皆为画布！」] 接下来又要忙碌起来了，除了收拾行李之外，还想给朋友们准备几份特殊的礼物。噢，对了，为了多放下几张旅行画片，我也该去找一本新的纪念册了。
[ 绘夏！烈日？度假村！其二「畅玩！举目之处皆为画布！」] ←━━━━━━━━━━
[ 绘夏！烈日？度假村！其二「畅玩！举目之处皆为画布！」] El Capoctus Joquiratto
[ 绘夏！烈日？度假村！其二「畅玩！举目之处皆为画布！」] 「乔克力老大」
[ 绘夏！烈日？度假村！其二「畅玩！举目之处皆为画布！」] 听上去很好吃的恶霸头目
[ 绘夏！烈日？度假村！其二「畅玩！举目之处皆为画布！」] 「娜娜丝梨人」和阿夏的场景对话
[ 绘夏！烈日？度假村！其二「畅玩！举目之处皆为画布！」] 魂附暝视龙后返回…
[ 绘夏！烈日？度假村！其二「畅玩！举目之处皆为画布！」] 幼暝视龙的场景对话
[绘夏！烈日？度假村！其一「出发！无忧无虑的度假之旅？」] 获得悠悠度假村邀请函
[绘夏！烈日？度假村！其一「出发！无忧无虑的度假之旅？」] 与同伴们在岸边会合…
[绘夏！烈日？度假村！其一「出发！无忧无虑的度假之旅？」] 获得悠悠纪念册、悠悠度假村地图
[绘夏！烈日？度假村！其一「出发！无忧无虑的度假之旅？」] 获得「太阳」、迷你「太阳」
[绘夏！烈日？度假村！其一「出发！无忧无虑的度假之旅？」] 片刻间，美味的菜肴铺满了整个餐桌。
[绘夏！烈日？度假村！其一「出发！无忧无虑的度假之旅？」] 班尼特的场景对话
[绘夏！烈日？度假村！其一「出发！无忧无虑的度假之旅？」] 恰斯卡的场景对话
[绘夏！烈日？度假村！其一「出发！无忧无虑的度假之旅？」] 玛拉妮的场景对话
[磷星之章 第一幕「星与夜的低语」] 在旅行中寻常的一天，身体却莫名地感到不适…
[磷星之章 第一幕「星与夜的低语」] 被派蒙带到了万民堂。似乎是察觉到我有些心不在焉，小派蒙点了很多好吃的东西。
[磷星之章 第一幕「星与夜的低语」] 简单向丝柯克描述了「梦」里的场景。
[磷星之章 第一幕「星与夜的低语」] 与派蒙迅速吃完了饭，起身结账。
[磷星之章 第一幕「星与夜的低语」] 【白术】
[磷星之章 第一幕「星与夜的低语」] 怎么样，今天好些了吗？
[磷星之章 第一幕「星与夜的低语」] 跟白术讲述了昨天的梦，以及找到「帮手」的事情。
[磷星之章 第一幕「星与夜的低语」] 你是说，在梦里被拖进了奇怪的空间，然后被尖刺刺伤了？
[磷星之章 第一幕「星与夜的低语」] 尖刺的事情我不太了解。不过，若是说「梦里进入了另一个世界」，许多古籍都曾提到过类似的事。
[磷星之章 第一幕「星与夜的低语」] 例如《谪仙醉梦录》就写过，一位樵夫的灵魂误入了另一个世界，在那个世界里度过了许多年才返回现实。
[磷星之章 第一幕「星与夜的低语」] 【长生】
[磷星之章 第一幕「星与夜的低语」] 啊，我想起来了。以前有一位魔神的力量就和梦与灵魂有关吧，不过那个魔神应该已经死了？
[磷星之章 第一幕「星与夜的低语」] 【白术】
[磷星之章 第一幕「星与夜的低语」] 魔神…不管怎么样，还是多加小心为好。有需要帮忙的地方，可以随时联系我们。
[磷星之章 第一幕「星与夜的低语」] 丝柯克答应帮忙调查神秘人的下落。在此期间，努力提升自身的实力吧。
[磷星之章 第一幕「星与夜的低语」] 随着训练不断进行，力量也有所提升…
[磷星之章 第一幕「星与夜的低语」] 一次又一次地挥剑，直至体力彻底耗尽…
[磷星之章 第一幕「星与夜的低语」] 依次训练了不同的元素力，最后以水元素收尾…
[磷星之章 第一幕「星与夜的低语」] 与派蒙一起大快朵颐，风卷残云地消灭了所有的烤肉。
[磷星之章 第一幕「星与夜的低语」] 特训结束，丝柯克也定位到了幕后真凶所在之处，小心地前进吧。
[磷星之章 第一幕「星与夜的低语」] 磷星之章 第一幕 星与夜的低语 吞星 （谋算） 过场动画
[磷星之章 第一幕「星与夜的低语」] 丝柯克的力量恢复得很快。但她似乎对此仍不满意，认为身体出了什么问题，想要通过冥想来解决。与她约定两天后再次见面，希望一切顺利…
[磷星之章 第一幕「星与夜的低语」] 剧情PV-「溯渊成河，星轨永延」
[磷星之章 第一幕「星与夜的低语」] 三个人一起品尝了好吃的点心…
[磷星之章 第一幕「星与夜的低语」] 重新醒来后，与自身和解的丝柯克重新取回了力量。该给幕后真凶一点教训了。
[磷星之章 第一幕「星与夜的低语」] 过场动画-「噬暗终寂」
[香糕塔之章 第一幕「珍上至珍」] 娜维娅似乎在德波大饭店门口观察着什么…
[香糕塔之章 第一幕「珍上至珍」] 辱没饭店的名声！
[香糕塔之章 第一幕「珍上至珍」] 你们找了张桌子坐下，等待繁忙的时刻过去…
[香糕塔之章 第一幕「珍上至珍」] 将莫妮卡的糖纸交给了爱可菲…
[香糕塔之章 第一幕「珍上至珍」] 在爱可菲的指导下，各自完成了调味工作…
[香糕塔之章 第一幕「珍上至珍」] 以赴吧！
[香糕塔之章 第一幕「珍上至珍」] 你甫一端出料理，喜色就堆满了爱可菲的脸颊…
[香糕塔之章 第一幕「珍上至珍」] 爱可菲用丰盛的料理招待了大家…
[香糕塔之章 第一幕「珍上至珍」] 爱可菲如约而至，一场炽烈的料理对决即将展开…
[香糕塔之章 第一幕「珍上至珍」] 看过秘典原本的莎凡娜，突然昏迷过去…
[香糕塔之章 第一幕「珍上至珍」] 「…是她隐瞒了真正的秘方…」
[香糕塔之章 第一幕「珍上至珍」] 「…不择手段，去拿回真正的秘典！」
[香糕塔之章 第一幕「珍上至珍」] 「…就是你让『幽光素』混进来的吧？」
[香糕塔之章 第一幕「珍上至珍」] 风波背后，藏着冰冷的真相…
[香糕塔之章 第一幕「珍上至珍」] 爱可菲迷迷糊糊地趴在桌上，附近堆放着数不过来的德波大蛋糕，看起来，她一整晚都在奋战…
[香糕塔之章 第一幕「珍上至珍」] 让爱可菲提起精神
[香糕塔之章 第一幕「珍上至珍」] 你将咖啡交给了爱可菲…
[香糕塔之章 第一幕「珍上至珍」] 来源不明的信件
[香糕塔之章 第一幕「珍上至珍」] （数月前的来信）
[香糕塔之章 第一幕「珍上至珍」] …就是你让「幽光素」混进来的吧?
[香糕塔之章 第一幕「珍上至珍」] 我知道那天出问题的食材，是你负责采买的。
[香糕塔之章 第一幕「珍上至珍」] 要是你那好友知道自己是因为你的失察受罪…她会怎么想？饭店里的人会怎么想?
[香糕塔之章 第一幕「珍上至珍」] 所以…你也不想让爱可菲知道这件事吧？莎凡娜主厨？
[香糕塔之章 第一幕「珍上至珍」] （数周前的来信）
[香糕塔之章 第一幕「珍上至珍」] …不择手段，去拿回真正的秘典！
[香糕塔之章 第一幕「珍上至珍」] 真正的「秘宝」在那本原典里！你居然就这么愚蠢地把它送出去了？赌斗也好强夺也罢，去把它给我拿回来！
[香糕塔之章 第一幕「珍上至珍」] 对了——你们不是有那什么「料理对决」？
[香糕塔之章 第一幕「珍上至珍」] …没自信赢的话，让对手输掉不就行了？你手下那个小厨子，刚好能派上用场…
[香糕塔之章 第一幕「珍上至珍」] （不久前的来信）
[香糕塔之章 第一幕「珍上至珍」] 你还在犹豫什么？——就是她隐瞒了真正的秘方！
[香糕塔之章 第一幕「珍上至珍」] 你以为自己为什么还原不出她的作品？都是因为她怕你盖过她的风头！
[香糕塔之章 第一幕「珍上至珍」] 想象一下现在店里店外都是怎么在背后评价你的吧！凡人！庸才！永远不能超越爱可菲的失败者！
[香糕塔之章 第一幕「珍上至珍」] 这一切都是她害的…爱可菲才不是什么圣人，她可不值得你犹豫。
[香糕塔之章 第一幕「珍上至珍」] 与此同时，在海底某处…
[香糕塔之章 第一幕「珍上至珍」] 收集了周围的海露花和幽光星星…
[香糕塔之章 第一幕「珍上至珍」] 稍早之前…
[香糕塔之章 第一幕「珍上至珍」] 利用水道运送料理
[香糕塔之章 第一幕「珍上至珍」] 莫妮卡气急败坏，将空罐子扔了出去，却无意中触发了遗迹中的防卫机关…
[香糕塔之章 第一幕「珍上至珍」] 莫妮卡正准备对爱可菲开枪，一旁的莎凡娜转醒过来，捡起滚落到附近的破碎罐子，猛地砸向莫妮卡…
[香糕塔之章 第一幕「珍上至珍」] 第二次料理对决开始。爱可菲火力全开，你和派蒙也全力辅助。一份完美的德波大蛋糕新鲜出炉，评委们大快朵颐，纷纷为这绝妙的味道而感动。
[香糕塔之章 第一幕「珍上至珍」] 有你们的完美表现在前，莎凡娜似乎已经无心再端出自己的作品，但爱可菲却在此时，送上了一份恰到好处的鼓励…
[香糕塔之章 第一幕「珍上至珍」] 过场动画-「最终料理对决」
[尤潘基的回火 第三幕「基尼奇的交易」] 蒂亚戈的场景对话
[尤潘基的回火 第三幕「基尼奇的交易」] 与此同时，一处隐秘的山洞…
[尤潘基的回火 第三幕「基尼奇的交易」] 一名深渊咏者·渊火从兽境中现身…
[尤潘基的回火 第三幕「基尼奇的交易」] 基尼奇的场景对话
[尤潘基的回火 第三幕「基尼奇的交易」] 回火之路
[尤潘基的回火 第三幕「基尼奇的交易」] 一份回火夜仪式的图示，行迹有如悬木人的图腾。
[尤潘基的回火 第三幕「基尼奇的交易」] 获得回火之路
[尤潘基的回火 第三幕「基尼奇的交易」] 胡妮的场景对话
[尤潘基的回火 第三幕「基尼奇的交易」] 特立尼达的场景对话
[尤潘基的回火 第三幕「基尼奇的交易」] 蒂亚戈的场景对话
[尤潘基的回火 第三幕「基尼奇的交易」] 多巴和庞塞的场景对话
[尤潘基的回火 第三幕「基尼奇的交易」] 试图离开场地触发
[尤潘基的回火 第三幕「基尼奇的交易」] 基尼奇启动兽境召唤装置，兽境裂隙逐渐打开…
[尤潘基的回火 第三幕「基尼奇的交易」] 过场动画尤潘基的回火 第三幕 基尼奇的交易  最后的回火夜（意志传承） 过场动画
[尤潘基的回火 第三幕「基尼奇的交易」] 第二天，悬木人部族里。
[蘑境菌奇 第三幕「田地里的蕈息」] 与「豪宴热斗」宣传板交互
[蘑境菌奇 第三幕「田地里的蕈息」] 很快，绿蘑菇就烹饪完成，你们都吃了一些，味道确实没有什么区别。
[蘑境菌奇 第三幕「田地里的蕈息」] 「蕈之贤主」 只是古往今来，索要答案都要展示诚意，就看你们是否能让我满意了。
[蘑境菌奇 第三幕「田地里的蕈息」] 尝试调查神秘的蘑菇
[蘑境菌奇 第三幕「田地里的蕈息」] 首领阿卡特将「沃陆之邦」的众人召集到了一起，瓦雷莎简要地说明了蘑菇的调查进展。
[蘑境菌奇 第三幕「田地里的蕈息」] 依稀能听到阿卡特的声音…
[蘑境菌奇 第三幕「田地里的蕈息」] 过场动画蘑境菌奇 第三幕 田地里的蕈息 没有硝烟的战争 （菇菇餮宴） 过场动画
[蘑境菌奇 第三幕「田地里的蕈息」] 将事情的经过都告诉了首领。
[蘑境菌奇 第三幕「田地里的蕈息」] 凯瑟琳听完你们的讲述之后，立刻前往了「话事处」，试图联系能够解答你们疑问的学者…
[荣花竞捷之争 第三幕 「团结的魔法」] 向众人讲述了数百年前的荣花演武，以及小绒翼龙安杜的故事。
[荣花竞捷之争 第三幕 「团结的魔法」] 听完之后，众人的情绪都有些低落。
[荣花竞捷之争 第三幕 「团结的魔法」] 进攻「回声之子」营地
[荣花竞捷之争 第三幕 「团结的魔法」] 欧洛伦将安杜包围在光球中，安杜飞向众人上空，施展「团结的魔法」…
[荣花竞捷之争 第三幕 「团结的魔法」] 看到众人和好，安杜开心地扇起了翅膀…
[荣花竞捷之争 第三幕 「团结的魔法」] 阿乔震惊得晕倒在地上…
[荣花竞捷之争 第三幕 「团结的魔法」] 伊法很快调好了药物，喂到了米莱口中。
[荣花竞捷之争 第三幕 「团结的魔法」] 下来，就是最重要的步骤——
[荣花竞捷之争 第二幕 「因愧疚而生的医术」] 向茜特菈莉讲述了关于「圣火结晶会蛊惑人心」的传闻。
[荣花竞捷之争 第二幕 「因愧疚而生的医术」] 翻阅了剩下的所有织物，但里面再也没有提到荣花演武的事情。
[荣花竞捷之争 第二幕 「因愧疚而生的医术」] 跟基尼奇与玛拉妮简单聊了一下事情的始末。
[荣花竞捷之争 第二幕 「因愧疚而生的医术」] 跟着小绒翼龙的灵魂，一口气走了很远的距离…
[荣花竞捷之争 第二幕 「因愧疚而生的医术」] 挖开泥土之后，里面埋藏着一个陈旧的盒子。
[荣花竞捷之争 第二幕 「因愧疚而生的医术」] 一行人简单地商量了接下来的计划。
[荣花竞捷之争 第一幕 「为了龙伙伴」] 又聊了一会儿天…
[荣花竞捷之争 第一幕 「为了龙伙伴」] 击败营地守卫并更换旗帜
[荣花竞捷之争 第一幕 「为了龙伙伴」] 在熟悉的地方换好了衣服…
[蘑境菌奇 第二幕「果园小憩」] 瓦娜娜的场景对话
[蘑境菌奇 第二幕「果园小憩」] 瓦雷莎快速烹饪了几下，热气腾腾的蘑菇菜肴便端到了你们面前。
[蘑境菌奇 第一幕「炽热的沃陆」] 瓦雷莎这附近经常会有火山里喷出的石头砸下来，我们一般叫它「冲撞岩」。
[貘枕之章 第一幕「食梦者的忧郁」] 蓝川丞的场景对话
[貘枕之章 第一幕「食梦者的忧郁」] 薄田和海彦的场景对话
[貘枕之章 第一幕「食梦者的忧郁」] 金井的场景对话
[貘枕之章 第一幕「食梦者的忧郁」] 长久的等待招来了困意，你不知不觉间进入梦乡。
[貘枕之章 第一幕「食梦者的忧郁」] 你似乎闻到了一丝若有若无的香气，被它吸引着向前走去…
[貘枕之章 第一幕「食梦者的忧郁」] 金井的场景对话
[貘枕之章 第一幕「食梦者的忧郁」] 你和派蒙一起享受了秋沙钱汤的温泉和小食，全身的疲惫被一扫而空。
[貘枕之章 第一幕「食梦者的忧郁」] 你想象自己忘掉了那些苦涩的思念，然而你期待中属于重逢的那份喜悦也不复存在。
[貘枕之章 第一幕「食梦者的忧郁」] 你想象自己忘掉了那些冰冷的绝望，然而你为了胜利而拼死一搏的热血也随之烟消云散。
[貘枕之章 第一幕「食梦者的忧郁」] 你想象自己忘掉了那些酸楚的遗憾，然而你在旅途中收获的种种感动也突然间成为了无根之木。
[貘枕之章 第一幕「食梦者的忧郁」] 百日白白音的场景对话
[貘枕之章 第一幕「食梦者的忧郁」] 柴葉紫的场景对话
[貘枕之章 第一幕「食梦者的忧郁」] 蓝川丞的场景对话
[貘枕之章 第一幕「食梦者的忧郁」] 你想起了昨天那个古怪的梦，将它描述给瑞希听。
[貘枕之章 第一幕「食梦者的忧郁」] 八重神子的场景对话
[貘枕之章 第一幕「食梦者的忧郁」] 过场动画貘枕之章 第一幕 食梦者的忧郁 梦魇的孑遗 （千梦一夜） 过场动画
[貘枕之章 第一幕「食梦者的忧郁」] 梦见月瑞希的场景对话
[貘枕之章 第一幕「食梦者的忧郁」] 梦见月瑞希的场景对话
[貘枕之章 第一幕「食梦者的忧郁」] 百日白白音的场景对话
[貘枕之章 第一幕「食梦者的忧郁」] 柴葉紫的场景对话
[貘枕之章 第一幕「食梦者的忧郁」] 八重神子的场景对话
[不败阳焰之章 第一幕「正如那烈日」] 这天晚上，你在睡梦中听见一个熟悉的声音…
[不败阳焰之章 第一幕「正如那烈日」] 向派蒙说明情况后，你们快速洗漱一番，出发前往「话事处」…
[不败阳焰之章 第一幕「正如那烈日」] 众人七手八脚，齐心协力把两名落水人士打捞了上来…
[不败阳焰之章 第一幕「正如那烈日」] 为希诺宁说明了希巴拉克即将复活的事…
[不败阳焰之章 第一幕「正如那烈日」] 前往高处
[不败阳焰之章 第一幕「正如那烈日」] 应伊安珊要求，玛薇卡和你们一起帮忙测试大赛流程…
[不败阳焰之章 第一幕「正如那烈日」] 店长小姐端着超大份的饭菜向你们走来，派蒙见状高兴得飞到半空不停盘旋。
[不败阳焰之章 第一幕「正如那烈日」] 精心烹制的菜肴非常美味，你和派蒙立刻埋头大吃起来。
[不败阳焰之章 第一幕「正如那烈日」] 而在你们未能察觉的时刻，玛薇卡优雅、平静、速度惊人地扫完了一半烤肉…
[不败阳焰之章 第一幕「正如那烈日」] 派蒙惊恐地看了你一眼。她意识到，今天遇到的是一位比她可怕得多的对手——她再也不是最能吃肉的那个人了。
[不败阳焰之章 第一幕「正如那烈日」] 玛薇卡走开了一会儿。不久后，她带你们到住宿处…
[不败阳焰之章 第一幕「正如那烈日」] 之后的几天，你和派蒙四处闲逛，吃吃喝喝，过得非常悠闲。
[不败阳焰之章 第一幕「正如那烈日」] 终于，大赛到来了…
[不败阳焰之章 第一幕「正如那烈日」] （以下对话不分先后）
[不败阳焰之章 第一幕「正如那烈日」] 伊安珊按住你和派蒙，强制为你们执行了热身运动。教练的魄力不容小觑…
[不败阳焰之章 第一幕「正如那烈日」] ——————————
[不败阳焰之章 第一幕「正如那烈日」] ——————————
[不败阳焰之章 第一幕「正如那烈日」] ——————————
[不败阳焰之章 第一幕「正如那烈日」] 纳塔最初的领袖，伟大的初代火神希巴拉克，他竟然以超乎想象的方式和形态出现在众人面前…
[不败阳焰之章 第一幕「正如那烈日」] 以一捧火的时间为限，玛薇卡与希巴拉克尽情释放力量，投身到战斗中。在某几个瞬间，你隐约窥见了玛薇卡曾经历过的战斗。曾经，她也以同样的姿态拼搏、厮杀、扶持他人、为人所助，又不舍地送别一个个战友。不会感到疲惫吗？你感到不解。明明是自言自语，却不知怎么，好像得到了玛薇卡的回答。战况逐渐白热化，双方几度过招，谁都不甘让步，谁也都没在火焰熄灭前落败。
[不败阳焰之章 第一幕「正如那烈日」] 过场动画-「烈阳的碰撞」
[不败阳焰之章 第一幕「正如那烈日」] 宴会上的人们纷纷围过来，将玛薇卡、你和派蒙簇拥在中间。玛薇卡示意众人换个位置，到饮酒的台上坐好，开始讲述——
[不败阳焰之章 第一幕「正如那烈日」] 夜幕降临时，太阳消失。她带着喜悦回来，还背着部族中的孩童。
[不败阳焰之章 第一幕「正如那烈日」] 太阳升起在孩童梦中，又在他睡着时悄然落下。
[流淌着色彩的回忆 第三幕 「七彩之战的真相」] 房门突然被打开，一股酒气扑面而来。
[流淌着色彩的回忆 第三幕 「七彩之战的真相」] 房门又被猛地关闭。
[流淌着色彩的回忆 第三幕 「七彩之战的真相」] 蒙吕松和艾列尔的场景对话
[流淌着色彩的回忆 第三幕 「七彩之战的真相」] 茜特菈莉推门而出，你和派蒙急忙跟了出去。
